on the one hand | z jednej strony...
ring the bell | być dokładnie tym czego się potrzebuje
on the tip of your tongue | mieć coś na końcu języka
give somebody a hand | podać komuś pomocną dłoń
pull somebody's leg | robić kogoś w konia
let the cat out of the bag | wygadać się, zdradzić tajemnicę
on the top of your head | bez zastanowienia
speak your mind | mówić co się myśli (bez zastanowienia)
to have butterfly in your stomach | zezłościć się
drive a nuts | doprowadzić kogoś do szaleństwa
play by the ear | improwizować
piece of cake | łatwizna
break the ice | przełamać lody, rozładować atmosferę
be neck and neck | iść łeb w łeb
to chip in | dołożyć się (kontrybuować)
a long shot | ryzykowna próba
a best shot | dać z siebie wszystko
in a nutshell | w skrócie, w pigułce
a hard to crack | trudny orzech do zgryzienia
(not) my cup of tea | nie mój orzech do zgryzienia
one smart cookie | być dobrym w rozwiązywaniu problemu
as cool as cucumber | być spokojnym i zrelaksowanym w trudnej sytuacji
crying over the spilt milk | płakać nad rozlanym mlekiem
