afraid ... sth | of
amused ... sth | by
angry ... sb | with
annoyed ... sb | with
annoyed ... sth | about
anxious ... sth | about
ashamed ... sb | of
bored ... sth/sb | with
brilliant ... sth | at
close ... sth | to
delighted ... sb | with
disappointed ... sth/sb | with
excited ... sth | about
faithful ... sb | to
friendly ... sb | with
frightened ... sth | of
furious ... sth | about
furious ... sb | at
grateful ... sth | for
grateful ... sb | to
nervous ... sth | about
proud ... sth | of
sensitive ... sth | about
jealous ... sb | of
pleased ... sb | of
rude ... sb | to
upset ... sth | about
